"","comorbid_condition","concept_id","concept_code","concept_name","vocabulary"
"265","Peptic ulcer disease",201069,"38365000","Peptic ulcer without hemorrhage, without perforation AND without obstruction","SNOMED CT"
"266","Malignancy, except skin neoplasms",201238,"93797001","Primary malignant neoplasm of female genital organ","SNOMED CT"
"267","Malignancy, except skin neoplasms",201242,"93493001","Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes","SNOMED CT"
"268","Diabetes, without chronic complications",201254,"46635009","Type 1 diabetes mellitus","SNOMED CT"
"269","Mild liver disease",201343,"9953008","Acute alcoholic liver disease","SNOMED CT"
"270","Malignancy, except skin neoplasms",201517,"94120006","Primary malignant neoplasm of urachus","SNOMED CT"
"271","Malignancy, except skin neoplasms",201518,"93875005","Primary malignant neoplasm of lower limb","SNOMED CT"
"272","Malignancy, except skin neoplasms",201519,"95214007","Primary malignant neoplasm of liver","SNOMED CT"
"273","Diabetes, without chronic complications",201530,"190331003","Hyperosmolar coma due to type 2 diabetes mellitus","SNOMED CT"
"274","Diabetes, without chronic complications",201531,"190330002","Hyperosmolar coma due to type 1 diabetes mellitus","SNOMED CT"
"275","Mild liver disease",201612,"41309000","Alcoholic liver damage","SNOMED CT"
"276","Mild liver disease",201613,"79720007","Chronic nonalcoholic liver disease","SNOMED CT"
"277","Malignancy, except skin neoplasms",201801,"371987000","Primary malignant neoplasm of fallopian tube","SNOMED CT"
"278","Malignancy, except skin neoplasms",201810,"188505000","Lymphosarcoma of intrapelvic lymph nodes","SNOMED CT"
"279","Malignancy, except skin neoplasms",201813,"94707004","Mycosis fungoides of intra-abdominal lymph nodes","SNOMED CT"
"280","Diabetes, without chronic complications",201820,"73211009","Diabetes mellitus","SNOMED CT"
"281","Diabetes, without chronic complications",201826,"44054006","Type 2 diabetes mellitus","SNOMED CT"
"282","Peptic ulcer disease",201885,"85859006","Chronic gastric ulcer with hemorrhage and with obstruction","SNOMED CT"
"283","Chronic pulmonary disease",252348,"196049002","Chronic pulmonary radiation disease","SNOMED CT"
"284","Renal disease",252365,"77182004","Membranous glomerulonephritis","SNOMED CT"
"285","Malignancy, except skin neoplasms",252840,"94118008","Primary malignant neoplasm of upper respiratory tract","SNOMED CT"
"286","Chronic pulmonary disease",252946,"29422001","Coal workers' pneumoconiosis","SNOMED CT"
"287","Malignancy, except skin neoplasms",254282,"94049001","Primary malignant neoplasm of soft palate","SNOMED CT"
"288","Chronic pulmonary disease",254389,"17996008","Pneumoconiosis caused by inorganic dust","SNOMED CT"
"289","Rheumatic disease",254443,"83901003","Sjögren's syndrome","SNOMED CT"
"290","Malignancy, except skin neoplasms",254583,"109390005","Kaposi's sarcoma of lung","SNOMED CT"
"291","Malignancy, except skin neoplasms",255192,"371981004","Primary malignant neoplasm of commissure of lip","SNOMED CT"
"292","Rheumatic disease",255304,"196133001","Lung disease with systemic sclerosis","SNOMED CT"
"293","Rheumatic disease",255348,"65323003","Polymyalgia rheumatica","SNOMED CT"
"294","Chronic pulmonary disease",255573,"13645005","Chronic obstructive pulmonary disease","SNOMED CT"
"295","Chronic pulmonary disease",255841,"63480004","Chronic bronchitis","SNOMED CT"
"296","Chronic pulmonary disease",256146,"426853005","Pneumoconiosis caused by silicate","SNOMED CT"
"297","Rheumatic disease",256197,"398726004","Rheumatoid lung disease","SNOMED CT"
"298","Chronic pulmonary disease",256448,"195949008","Chronic asthmatic bronchitis","SNOMED CT"
"299","Chronic pulmonary disease",256449,"12295008","Bronchiectasis","SNOMED CT"
"300","Chronic pulmonary disease",256450,"22607003","Asbestosis","SNOMED CT"
"301","Chronic pulmonary disease",256451,"32398004","Bronchitis","SNOMED CT"
"302","Malignancy, except skin neoplasms",256633,"93687001","Primary malignant neoplasm of base of tongue","SNOMED CT"
"303","Chronic pulmonary disease",257004,"195951007","Acute exacerbation of chronic obstructive pulmonary disease","SNOMED CT"
"304","Malignancy, except skin neoplasms",257503,"93882009","Primary malignant neoplasm of main bronchus","SNOMED CT"
"305","Rheumatic disease",257628,"55464009","Systemic lupus erythematosus","SNOMED CT"
"306","Chronic pulmonary disease",257905,"74417001","Mucopurulent chronic bronchitis","SNOMED CT"
"307","Malignancy, except skin neoplasms",258084,"187900002","Malignant neoplasm of bones of skull and face","SNOMED CT"
"308","Malignancy, except skin neoplasms",258375,"109371002","Overlapping malignant neoplasm of bronchus and lung","SNOMED CT"
"309","Chronic pulmonary disease",258780,"185086009","Emphysematous bronchitis","SNOMED CT"
"310","Chronic pulmonary disease",258781,"74015002","Pneumonopathy due to inhalation of dust","SNOMED CT"
"311","Malignancy, except skin neoplasms",258981,"109386008","Kaposi's sarcoma of skin","SNOMED CT"
"312","Chronic pulmonary disease",259043,"57686001","Emphysematous bleb of lung","SNOMED CT"
"313","Chronic pulmonary disease",259044,"40122008","Pneumoconiosis","SNOMED CT"
"314","Malignancy, except skin neoplasms",259748,"93659005","Primary malignant neoplasm of accessory sinus","SNOMED CT"
"315","Malignancy, except skin neoplasms",259755,"94075002","Primary malignant neoplasm of subglottis","SNOMED CT"
"316","Malignancy, except skin neoplasms",260336,"93816002","Primary malignant neoplasm of glottis","SNOMED CT"
"317","Chronic pulmonary disease",261325,"87433001","Pulmonary emphysema","SNOMED CT"
"318","Malignancy, except skin neoplasms",261514,"94080006","Primary malignant neoplasm of supraglottis","SNOMED CT"
"319","Malignancy, except skin neoplasms",261808,"94138009","Primary malignant neoplasm of vestibule of mouth","SNOMED CT"
"320","Chronic pulmonary disease",261889,"61937009","Simple chronic bronchitis","SNOMED CT"
"321","Myocardial infarction",312327,"57054005","Acute myocardial infarction","SNOMED CT"
"322","Peripheral vascular disease",312343,"73067008","Ruptured aortic aneurysm","SNOMED CT"
"323","Renal disease",312358,"20917003","Chronic glomerulonephritis","SNOMED CT"
"324","Malignancy, except skin neoplasms",312846,"109391009","Kaposi's sarcoma of lymph nodes","SNOMED CT"
"325","Peripheral vascular disease",312934,"81817003","Atherosclerosis of aorta","SNOMED CT"
"326","Cerebrovascular disease",312938,"50490005","Hypertensive encephalopathy","SNOMED CT"
"327","Peripheral vascular disease",312939,"52403007","Thromboangiitis obliterans","SNOMED CT"
"328","Chronic pulmonary disease",312950,"424643009","IgE-mediated allergic asthma","SNOMED CT"
"329","Malignancy, except skin neoplasms",313159,"188754005","Megakaryocytic leukemia","SNOMED CT"
"330","Cerebrovascular disease",313226,"266254007","Carotid artery occlusion","SNOMED CT"
"331","Chronic pulmonary disease",313236,"409663006","Cough variant asthma","SNOMED CT"
"332","Malignancy, except skin neoplasms",313980,"188593003","Hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites","SNOMED CT"
"333","Congestive heart failure",314378,"5148006","Hypertensive heart disease with congestive heart failure","SNOMED CT"
"334","Myocardial infarction",314666,"1755008","Old myocardial infarction","SNOMED CT"
"335","Cerebrovascular disease",314667,"42970005","Nonpyogenic thrombosis of intracranial venous sinus","SNOMED CT"
"336","Malignancy, except skin neoplasms",315202,"188582000","Hodgkin's disease, mixed cellularity of lymph nodes of multiple sites","SNOMED CT"
"337","Congestive heart failure",315295,"82523003","Congestive rheumatic heart failure","SNOMED CT"
"338","Malignancy, except skin neoplasms",315481,"188517003","Burkitt's lymphoma of lymph nodes of multiple sites","SNOMED CT"
"339","Malignancy, except skin neoplasms",315497,"302855005","Subacute leukemia","SNOMED CT"
"340","Peripheral vascular disease",315558,"51274000","Atherosclerosis of arteries of the extremities","SNOMED CT"
"341","Malignancy, except skin neoplasms",315763,"188572001","Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites","SNOMED CT"
"342","Congestive heart failure",316139,"84114007","Heart failure","SNOMED CT"
"343","Malignancy, except skin neoplasms",316356,"93526001","Hodgkin's disease of lymph nodes of multiple sites","SNOMED CT"
"344","Cerebrovascular disease",316437,"55382008","Cerebral atherosclerosis","SNOMED CT"
"345","Malignancy, except skin neoplasms",316644,"93825008","Primary malignant neoplasm of heart","SNOMED CT"
"346","Malignancy, except skin neoplasms",316649,"188551004","Hodgkin's sarcoma of lymph nodes of multiple sites","SNOMED CT"
"347","Congestive heart failure",316994,"83105008","Malignant hypertensive heart disease with congestive heart failure","SNOMED CT"
"348","Chronic pulmonary disease",317009,"195967001","Asthma","SNOMED CT"
"349","Peripheral vascular disease",317305,"68109007","Stricture of artery","SNOMED CT"
"350","Peripheral vascular disease",317309,"399957001","Peripheral arterial occlusive disease","SNOMED CT"
"351","Malignancy, except skin neoplasms",317510,"93143009","Leukemia","SNOMED CT"
"352","Peripheral vascular disease",317577,"49176002","Arteriosclerotic gangrene","SNOMED CT"
"353","Peripheral vascular disease",317585,"67362008","Aortic aneurysm","SNOMED CT"
"354","Malignancy, except skin neoplasms",317801,"94062002","Primary malignant neoplasm of soft tissues of thorax","SNOMED CT"
"355","Peripheral vascular disease",318443,"72092001","Arteriosclerotic vascular disease","SNOMED CT"
"356","Malignancy, except skin neoplasms",318697,"188507008","Lymphosarcoma of lymph nodes of multiple sites","SNOMED CT"
"357","Diabetes, with chronic complications",318712,"421365002","Peripheral circulatory disorder due to type 1 diabetes mellitus","SNOMED CT"
"358","Malignancy, except skin neoplasms",318989,"93150008","Leukemic reticuloendotheliosis of lymph nodes of multiple sites","SNOMED CT"
"359","Congestive heart failure",319835,"42343007","Congestive heart failure","SNOMED CT"
"360","Malignancy, except skin neoplasms",320337,"188541000","Hodgkin's granuloma of lymph nodes of multiple sites","SNOMED CT"
"361","Malignancy, except skin neoplasms",320347,"95192000","Nodular lymphoma of lymph nodes of multiple sites","SNOMED CT"
"362","Peripheral vascular disease",320646,"12232008","Syphilitic aneurysm of aorta","SNOMED CT"
"363","Peripheral vascular disease",320739,"308546005","Dissection of aorta","SNOMED CT"
"364","Congestive heart failure",320746,"195029002","Cardiomyopathy associated with another disorder","SNOMED CT"
"365","Peripheral vascular disease",321052,"400047006","Peripheral vascular disease","SNOMED CT"
"366","Malignancy, except skin neoplasms",321234,"109384006","Overlapping malignant neoplasm of heart, mediastinum and pleura","SNOMED CT"
"367","Peripheral vascular disease",321314,"75878002","Abdominal aortic aneurysm without rupture","SNOMED CT"
"368","Congestive heart failure",321319,"85898001","Cardiomyopathy","SNOMED CT"
"369","Malignancy, except skin neoplasms",321522,"188562004","Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of multiple sites","SNOMED CT"
"370","Malignancy, except skin neoplasms",321526,"188744006","Monocytic leukemia","SNOMED CT"
"371","Malignancy, except skin neoplasms",321815,"93188005","Malignant histiocytosis of lymph nodes of multiple sites","SNOMED CT"
"372","Diabetes, with chronic complications",321822,"421895002","Peripheral vascular disorder due to diabetes mellitus","SNOMED CT"
"373","Peripheral vascular disease",321882,"39823006","Generalized atherosclerosis","SNOMED CT"
"374","Malignancy, except skin neoplasms",372567,"371993008","Primary malignant neoplasm of lacrimal gland","SNOMED CT"
"375","Hemiplegia or paraplegia",372613,"80935004","Flaccid hemiplegia","SNOMED CT"
"376","Cerebrovascular disease",372654,"425882004","Paralytic syndrome as late effect of stroke","SNOMED CT"
"377","Malignancy, except skin neoplasms",372849,"109911004","Overlapping malignant neoplasm of brain and other parts of the central nervous system","SNOMED CT"
"378","Hemiplegia or paraplegia",372880,"54099005","Diplegia of upper limbs","SNOMED CT"
"379","Cerebrovascular disease",372924,"20059004","Cerebral artery occlusion","SNOMED CT"
"380","Malignancy, except skin neoplasms",373151,"93764002","Primary malignant neoplasm of conjunctiva of eye","SNOMED CT"
"381","Malignancy, except skin neoplasms",373152,"307649006","Primary central nervous system lymphoma","SNOMED CT"
"382","Dementia",373179,"45864009","Senile degeneration of brain","SNOMED CT"
"383","Cerebrovascular disease",373503,"266257000","Transient cerebral ischemia","SNOMED CT"
"384","Hemiplegia or paraplegia",374022,"50582007","Hemiplegia","SNOMED CT"
"385","Cerebrovascular disease",374055,"64009001","Basilar artery syndrome","SNOMED CT"
"386","Malignancy, except skin neoplasms",374297,"188261005","Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid","SNOMED CT"
"387","Hemiplegia or paraplegia",374336,"1593000","Infantile hemiplegia","SNOMED CT"
"388","Hemiplegia or paraplegia",374377,"29426003","Paralytic syndrome","SNOMED CT"
"389","Cerebrovascular disease",374384,"287731003","Cerebral ischemia","SNOMED CT"
"390","Malignancy, except skin neoplasms",374874,"371986009","Primary malignant neoplasm of eye","SNOMED CT"
"391","Dementia",374888,"191519005","Dementia associated with another disease","SNOMED CT"
"392","Hemiplegia or paraplegia",374914,"11538006","Tetraplegia","SNOMED CT"
"393","Malignancy, except skin neoplasms",375479,"188029000","Kaposi's sarcoma of soft tissue","SNOMED CT"
"394","Malignancy, except skin neoplasms",375490,"93766000","Primary malignant neoplasm of cornea of eye","SNOMED CT"
"395","Hemiplegia or paraplegia",375528,"79633009","Spastic hemiplegia","SNOMED CT"
"396","Cerebrovascular disease",375557,"75543006","Cerebral embolism","SNOMED CT"
"397","Dementia",375791,"191449005","Uncomplicated senile dementia","SNOMED CT"
"398","Diabetes, with chronic complications",376065,"421326000","Disorder of nervous system due to type 2 diabetes mellitus","SNOMED CT"
"399","Dementia",376085,"191451009","Uncomplicated presenile dementia","SNOMED CT"
"400","Diabetes, with chronic complications",376112,"49455004","Polyneuropathy due to diabetes mellitus","SNOMED CT"
"401","Diabetes, with chronic complications",376114,"312905005","Severe nonproliferative retinopathy due to diabetes mellitus","SNOMED CT"
"402","Malignancy, except skin neoplasms",376647,"372010005","Primary malignant neoplasm of soft tissues","SNOMED CT"
"403","Cerebrovascular disease",376713,"274100004","Cerebral hemorrhage","SNOMED CT"
"404","Cerebrovascular disease",376714,"195199008","Vertebrobasilar artery syndrome","SNOMED CT"
"405","Malignancy, except skin neoplasms",376918,"93923002","Primary malignant neoplasm of nervous system","SNOMED CT"
"406","Dementia",376946,"191461002","Senile dementia with delirium","SNOMED CT"
"407","Diabetes, with chronic complications",376979,"43959009","Cataract due to diabetes mellitus","SNOMED CT"
"408","Malignancy, except skin neoplasms",377229,"187833006","Malignant neoplasm of auditory tube, middle ear and mastoid air cells","SNOMED CT"
"409","Dementia",377254,"70936005","Multi-infarct dementia, uncomplicated","SNOMED CT"
"410","Dementia",377527,"191455000","Presenile dementia with depression","SNOMED CT"
"411","Diabetes, with chronic complications",377552,"312904009","Moderate nonproliferative retinopathy due to diabetes mellitus","SNOMED CT"
"412","Malignancy, except skin neoplasms",377811,"93987004","Primary malignant neoplasm of retina","SNOMED CT"
"413","Diabetes, with chronic complications",377821,"421468001","Disorder of nervous system due to type 1 diabetes mellitus","SNOMED CT"
"414","Malignancy, except skin neoplasms",378081,"109349007","Overlapping malignant neoplasm of soft tissues","SNOMED CT"
"415","Dementia",378125,"12348006","Presenile dementia","SNOMED CT"
"416","Dementia",378419,"26929004","Alzheimer's disease","SNOMED CT"
"417","Malignancy, except skin neoplasms",378696,"93755007","Primary malignant neoplasm of choroid","SNOMED CT"
"418","Diabetes, with chronic complications",378743,"312903003","Mild nonproliferative retinopathy due to diabetes mellitus","SNOMED CT"
"419","Cerebrovascular disease",378774,"69116000","Moyamoya disease","SNOMED CT"
"420","Hemiplegia or paraplegia",379012,"41764006","Monoplegia of upper limb","SNOMED CT"
"421","Malignancy, except skin neoplasms",379756,"93886007","Primary malignant neoplasm of mandible","SNOMED CT"
"422","Dementia",379778,"56267009","Multi-infarct dementia","SNOMED CT"
"423","Dementia",379784,"191459006","Senile dementia with depression","SNOMED CT"
"424","Malignancy, except skin neoplasms",380055,"93727008","Primary malignant neoplasm of brain","SNOMED CT"
"425","Diabetes, with chronic complications",380096,"59276001","Proliferative retinopathy due to diabetes mellitus","SNOMED CT"
"426","Diabetes, with chronic complications",380097,"312912001","Macular edema due to diabetes mellitus","SNOMED CT"
"427","Hemiplegia or paraplegia",380393,"426536006","Monoplegia of upper limb affecting non-dominant side","SNOMED CT"
"428","Malignancy, except skin neoplasms",380661,"93749002","Primary malignant neoplasm of cerebrum","SNOMED CT"
"429","Cerebrovascular disease",380747,"28366008","Cerebral arteritis","SNOMED CT"
"430","Dementia",380986,"371024007","Senile dementia with delusion","SNOMED CT"
"431","Cerebrovascular disease",381036,"73192008","Multiple AND bilateral precerebral artery stenosis","SNOMED CT"
"432","Cerebrovascular disease",381316,"230690007","Cerebrovascular accident","SNOMED CT"
"433","Hemiplegia or paraplegia",381548,"86022000","Monoplegia","SNOMED CT"
"434","Cerebrovascular disease",381591,"62914000","Cerebrovascular disease","SNOMED CT"
"435","Dementia",381832,"191452002","Presenile dementia with delirium","SNOMED CT"
"436","Malignancy, except skin neoplasms",432254,"94144008","Primary malignant neoplasm of Waldeyer's ring","SNOMED CT"
"437","Malignancy, except skin neoplasms",432256,"93890009","Primary malignant neoplasm of Meckel's diverticulum","SNOMED CT"
"438","Malignancy, except skin neoplasms",432257,"94105000","Primary malignant neoplasm of transverse colon","SNOMED CT"
"439","Malignancy, except skin neoplasms",432260,"372023003","Primary malignant neoplasm of upper third of esophagus","SNOMED CT"
"440","Malignancy, except skin neoplasms",432262,"94104001","Primary malignant neoplasm of trachea","SNOMED CT"
"441","Malignancy, except skin neoplasms",432264,"93728003","Primary malignant neoplasm of broad ligament","SNOMED CT"
"442","Peripheral vascular disease",432346,"230730001","Dissection of vertebral artery","SNOMED CT"
"443","Peptic ulcer disease",432354,"34602004","Chronic duodenal ulcer with perforation but without obstruction","SNOMED CT"
"444","Malignancy, except skin neoplasms",432558,"109367000","Overlapping malignant neoplasm of nasopharynx","SNOMED CT"
"445","Malignancy, except skin neoplasms",432559,"93928006","Primary malignant neoplasm of occipital lobe","SNOMED CT"
"446","Malignancy, except skin neoplasms",432571,"118600007","Malignant lymphoma","SNOMED CT"
"447","Malignancy, except skin neoplasms",432833,"93933005","Primary malignant neoplasm of oropharynx","SNOMED CT"
"448","Malignancy, except skin neoplasms",432837,"371977004","Primary malignant neoplasm of cecum","SNOMED CT"
"449","Malignancy, except skin neoplasms",432838,"93738008","Primary malignant neoplasm of cardia of stomach","SNOMED CT"
"450","Malignancy, except skin neoplasms",432843,"94082003","Primary malignant neoplasm of tail of pancreas","SNOMED CT"
"451","Malignancy, except skin neoplasms",432844,"93671004","Primary malignant neoplasm of anterior mediastinum","SNOMED CT"
"452","Malignancy, except skin neoplasms",432848,"93748005","Primary malignant neoplasm of cerebral ventricle","SNOMED CT"
"453","Metastatic solid tumor",432851,"128462008","Metastatic malignant neoplasm","SNOMED CT"
"454","Cerebrovascular disease",432923,"21454007","Subarachnoid hemorrhage","SNOMED CT"
"455","Peptic ulcer disease",432951,"10389003","Acute gastrojejunal ulcer without hemorrhage AND without perforation but with obstruction","SNOMED CT"
"456","Malignancy, except skin neoplasms",433143,"93679002","Primary malignant neoplasm of appendix","SNOMED CT"
"457","Malignancy, except skin neoplasms",433149,"93746009","Primary malignant neoplasm of cerebellum","SNOMED CT"
"458","Malignancy, except skin neoplasms",433156,"93549004","Hodgkin's sarcoma of intrathoracic lymph nodes","SNOMED CT"
"459","Cerebrovascular disease",433195,"87224000","Transient arterial retinal occlusion","SNOMED CT"
"460","Peripheral vascular disease",433222,"195265003","Thoracoabdominal aortic aneurysm, ruptured","SNOMED CT"
"461","Chronic pulmonary disease",433233,"52333004","Mushroom workers' lung","SNOMED CT"
"462","Peptic ulcer disease",433246,"57940000","Chronic duodenal ulcer without hemorrhage, without perforation AND without obstruction","SNOMED CT"
"463","Renal disease",433257,"80321008","Mesangiocapillary glomerulonephritis","SNOMED CT"
"464","Malignancy, except skin neoplasms",433423,"93939009","Primary malignant neoplasm of pancreatic duct","SNOMED CT"
"465","Cerebrovascular disease",433505,"15258001","Subclavian steal syndrome","SNOMED CT"
"466","Peptic ulcer disease",433515,"62838000","Chronic gastrojejunal ulcer with hemorrhage","SNOMED CT"
"467","Malignancy, except skin neoplasms",433704,"93989001","Primary malignant neoplasm of retromolar area","SNOMED CT"
"468","Malignancy, except skin neoplasms",433709,"94102002","Primary malignant neoplasm of tonsillar fossa","SNOMED CT"
"469","Malignancy, except skin neoplasms",433716,"94087009","Primary malignant neoplasm of testis","SNOMED CT"
"470","Malignancy, except skin neoplasms",433975,"93767009","Primary malignant neoplasm of cranial nerve","SNOMED CT"
"471","Malignancy, except skin neoplasms",433976,"94086000","Primary malignant neoplasm of temporal lobe","SNOMED CT"
"472","Cerebrovascular disease",434056,"195239002","Late effects of cerebrovascular disease","SNOMED CT"
"473","Peptic ulcer disease",434070,"62936002","Acute duodenal ulcer with perforation AND obstruction","SNOMED CT"
"474","Malignancy, except skin neoplasms",434285,"94129007","Primary malignant neoplasm of uvula","SNOMED CT"
"475","Malignancy, except skin neoplasms",434289,"93868009","Primary malignant neoplasm of lingual tonsil","SNOMED CT"
"476","Malignancy, except skin neoplasms",434292,"93867004","Primary malignant neoplasm of lesser curvature of stomach","SNOMED CT"
"477","Malignancy, except skin neoplasms",434293,"93715005","Primary malignant neoplasm of body of pancreas","SNOMED CT"
"478","Myocardial infarction",434376,"54329005","Acute myocardial infarction of anterior wall","SNOMED CT"
"479","Peptic ulcer disease",434400,"56579005","Chronic gastrojejunal ulcer without hemorrhage AND without perforation but with obstruction","SNOMED CT"
"480","Peptic ulcer disease",434402,"66767006","Acute duodenal ulcer with hemorrhage but without obstruction","SNOMED CT"
"481","Malignancy, except skin neoplasms",434577,"93829002","Primary malignant neoplasm of hypopharyngeal aspect of aryepiglottic fold","SNOMED CT"
"482","Malignancy, except skin neoplasms",434584,"109385007","Kaposi's sarcoma (clinical)","SNOMED CT"
"483","Malignancy, except skin neoplasms",434587,"93773005","Primary malignant neoplasm of dorsal surface of tongue","SNOMED CT"
"484","Malignancy, except skin neoplasms",434588,"372004005","Primary malignant neoplasm of parotid gland","SNOMED CT"
"485","Malignancy, except skin neoplasms",434590,"93224002","Malignant melanoma of skin of eyelid","SNOMED CT"
"486","Malignancy, except skin neoplasms",434592,"109979007","B-cell lymphoma (clinical)","SNOMED CT"
"487","Malignancy, except skin neoplasms",434601,"93202002","Malignant mast cell tumor of intrathoracic lymph nodes","SNOMED CT"
"488","Cerebrovascular disease",434656,"34781003","Vertebral artery syndrome","SNOMED CT"
"489","Chronic pulmonary disease",434670,"48347002","Humidifier lung","SNOMED CT"
"490","Malignancy, except skin neoplasms",434880,"94003005","Primary malignant neoplasm of short bone of lower limb","SNOMED CT"
"491","Malignancy, except skin neoplasms",434881,"109977009","Peripheral T-cell lymphoma (clinical)","SNOMED CT"
"492","Chronic pulmonary disease",434975,"25897000","Malt-workers' lung","SNOMED CT"
"493","Malignancy, except skin neoplasms",435190,"93978008","Primary malignant neoplasm of pyriform sinus","SNOMED CT"
"494","Malignancy, except skin neoplasms",435193,"95226002","Reticulosarcoma of intrathoracic lymph nodes","SNOMED CT"
"495","Malignancy, except skin neoplasms",435207,"188609000","Nodular lymphoma of lymph nodes of head, face and neck","SNOMED CT"
"496","Diabetes, with chronic complications",435216,"420868002","Disorder due to type 1 diabetes mellitus","SNOMED CT"
"497","Chronic pulmonary disease",435298,"18690003","Farmers' lung","SNOMED CT"
"498","Peptic ulcer disease",435305,"18169007","Duodenal ulcer without hemorrhage AND without perforation but with obstruction","SNOMED CT"
"499","Malignancy, except skin neoplasms",435474,"93968005","Primary malignant neoplasm of posterior hypopharyngeal wall","SNOMED CT"
"500","Malignancy, except skin neoplasms",435478,"372022008","Primary malignant neoplasm of upper gum","SNOMED CT"
"501","Malignancy, except skin neoplasms",435484,"94109006","Primary malignant neoplasm of trigone of urinary bladder","SNOMED CT"
"502","Malignancy, except skin neoplasms",435487,"93969002","Primary malignant neoplasm of posterior mediastinum","SNOMED CT"
"503","Malignancy, except skin neoplasms",435492,"95188007","Nodular lymphoma of intrathoracic lymph nodes","SNOMED CT"
"504","Malignancy, except skin neoplasms",435493,"94004004","Primary malignant neoplasm of short bone of upper limb","SNOMED CT"
"505","Peptic ulcer disease",435578,"22511002","Acute duodenal ulcer with perforation but without obstruction","SNOMED CT"
"506","Peptic ulcer disease",435579,"62477005","Chronic gastrojejunal ulcer with perforation but without obstruction","SNOMED CT"
"507","Malignancy, except skin neoplasms",435751,"93809003","Primary malignant neoplasm of fundus of stomach","SNOMED CT"
"508","Malignancy, except skin neoplasms",435752,"93775003","Primary malignant neoplasm of duodenum","SNOMED CT"
"509","Malignancy, except skin neoplasms",435753,"93193008","Malignant lymphoma of intrathoracic lymph nodes","SNOMED CT"
"510","Peptic ulcer disease",435846,"72219001","Acute gastrojejunal ulcer with perforation AND obstruction","SNOMED CT"
"511","Peptic ulcer disease",435855,"51847008","Acute duodenal ulcer with hemorrhage AND with perforation but without obstruction","SNOMED CT"
"512","Peptic ulcer disease",435859,"75342000","Acute duodenal ulcer without hemorrhage AND without perforation but with obstruction","SNOMED CT"
"513","Malignancy, except skin neoplasms",436042,"371968006","Primary malignant neoplasm of anterior two-thirds of tongue","SNOMED CT"
"514","Malignancy, except skin neoplasms",436043,"109823006","Overlapping malignant neoplasm of tongue","SNOMED CT"
"515","Malignancy, except skin neoplasms",436045,"271323007","Malignant neoplasm of lip, oral cavity and pharynx","SNOMED CT"
"516","Malignancy, except skin neoplasms",436054,"94113004","Primary malignant neoplasm of undescended testis","SNOMED CT"
"517","Malignancy, except skin neoplasms",436059,"94704006","Multiple myeloma in remission","SNOMED CT"
"518","Peripheral vascular disease",436136,"233994002","Dissection of thoracic aorta","SNOMED CT"
"519","Peptic ulcer disease",436148,"62341002","Chronic duodenal ulcer with hemorrhage but without obstruction","SNOMED CT"
"520","Malignancy, except skin neoplasms",436344,"93970001","Primary malignant neoplasm of posterior wall of nasopharynx","SNOMED CT"
"521","Malignancy, except skin neoplasms",436348,"93669004","Primary malignant neoplasm of anal canal","SNOMED CT"
"522","Malignancy, except skin neoplasms",436352,"109370001","Primary malignant neoplasm of laryngeal cartilage","SNOMED CT"
"523","Malignancy, except skin neoplasms",436357,"372012002","Primary malignant neoplasm of soft tissues of upper limb","SNOMED CT"
"524","Malignancy, except skin neoplasms",436358,"93789008","Primary malignant neoplasm of exocervix","SNOMED CT"
"525","Cerebrovascular disease",436430,"397809001","Nontraumatic extradural hemorrhage","SNOMED CT"
"526","Peptic ulcer disease",436460,"77987006","Acute gastrojejunal ulcer without hemorrhage, without perforation AND without obstruction","SNOMED CT"
"527","Malignancy, except skin neoplasms",436635,"94006002","Primary malignant neoplasm of sigmoid colon","SNOMED CT"
"528","Malignancy, except skin neoplasms",436640,"93871001","Primary malignant neoplasm of long bone of lower limb","SNOMED CT"
"529","Malignancy, except skin neoplasms",436643,"93670003","Primary malignant neoplasm of anterior aspect of epiglottis","SNOMED CT"
"530","Myocardial infarction",436706,"58612006","Acute myocardial infarction of lateral wall","SNOMED CT"
"531","Peptic ulcer disease",436729,"90257004","Chronic gastrojejunal ulcer with hemorrhage and obstruction","SNOMED CT"
"532","Malignancy, except skin neoplasms",436913,"93846004","Primary malignant neoplasm of jejunum","SNOMED CT"
"533","Malignancy, except skin neoplasms",436920,"373168002","Reticulosarcoma","SNOMED CT"
"534","Malignancy, except skin neoplasms",436922,"93967000","Primary malignant neoplasm of postcricoid region","SNOMED CT"
"535","Malignancy, except skin neoplasms",436923,"94124002","Primary malignant neoplasm of urinary bladder neck","SNOMED CT"
"536","Malignancy, except skin neoplasms",436926,"93747000","Primary malignant neoplasm of cerebral meninges","SNOMED CT"
"537","Peripheral vascular disease",436996,"233984007","Thoracoabdominal aortic aneurysm","SNOMED CT"
"538","Peptic ulcer disease",437021,"41986000","Acute duodenal ulcer with hemorrhage, with perforation AND with obstruction","SNOMED CT"
"539","Malignancy, except skin neoplasms",437220,"94134006","Primary malignant neoplasm of ventral surface of tongue","SNOMED CT"
"540","Malignancy, except skin neoplasms",437224,"93818001","Primary malignant neoplasm of greater curvature of stomach","SNOMED CT"
